Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Comments;D: the total number of dead hatchlings found inside the nest;Date;Date;Facial ID taken;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Physical abnormality;Physical abnormality - comments;Place;Predation;Turtle species;Type of activity;U: the total number of unhatched eggs in the nest;Observation Group
Patrol;10;7-Mar-23;9:49:16 AM;9709105999999990;20538716666666600;Mar 12, 2023, 4:18:38 PM;Adela Hemelikova;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;7-Mar-23;;;;;S: front slope of dune in sand;BE: between low and high tide;;;;;;CM: Green turtle;;;14146fbc6de5495fbc30eddcb63326a9
Patrol;9;7-Mar-23;9:45:46 AM;9709114;20539383333333300;Mar 12, 2023, 4:18:38 PM;Adela Hemelikova;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;5.0;7-Mar-23;;;86.0;;G: dune in grass;A: above high tide;;;;;;CM: Green turtle;;8.0;89abb32c9ccc4ff899006185be280505
Patrol;8;7-Mar-23;9:32:00 AM;9709075666666660;2054673333333330;Mar 12, 2023, 4:18:38 PM;Adela Hemelikova;Bird's monitoring;;;Beach stone-curlew;;;;;;7-Mar-23;;;Beach;;;3.0;;;Sea;;;Standing;;c713d32847244ea5aa485757796a7f5f
Patrol;7;7-Mar-23;9:26:29 AM;9708992000000000;205548;Mar 12, 2023, 4:18:38 PM;Adela Hemelikova;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;7-Mar-23;;;;;;BL: below tidal line;;;;;;CM: Green turtle;;;7c47eccc504746298e4e2630dd227e21
Patrol;6;7-Mar-23;9:22:35 AM;9708980166666660;205607;Mar 12, 2023, 4:18:38 PM;Adela Hemelikova;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;7-Mar-23;;;;;S: front slope of dune in sand;BE: between low and high tide;;;;;;CM: Green turtle;;;04a934a6e2eb4f4b9d768cffe57b3736
Patrol;5;7-Mar-23;9:06:18 AM;9708753666666660;20589133333333300;Mar 12, 2023, 4:18:38 PM;Adela Hemelikova;Sea turtle activity;P: predation;Amandangan;;;;;;7-Mar-23;;;;;D: dune sand (area on top of dune);A: above high tide;;;;;;CM: Green turtle;;;384c5722a19e41999eaca093f5c095b3
Patrol;4;7-Mar-23;8:53:35 AM;9708745333333330;2059065;Mar 12, 2023, 4:18:38 PM;Adela Hemelikova;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;5.0;4.0;;;7-Mar-23;;;86.0;;D: dune sand (area on top of dune);A: above high tide;;;;;;CM: Green turtle;;8.0;2f3b5d7644d149c497e422be174a3f70
Patrol;3;7-Mar-23;8:22:33 AM;9708720999999990;205959;Mar 12, 2023, 4:18:38 PM;Adela Hemelikova;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;7-Mar-23;;;;;D: dune sand (area on top of dune);A: above high tide;;;;;;CM: Green turtle;;;dcd383d5348546cf8a28068f7d1778fa
Patrol;2;7-Mar-23;8:13:43 AM;9708447999999990;20614316666666600;Mar 12, 2023, 4:18:38 PM;Adela Hemelikova;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;7-Mar-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;01f5e6bfdb0d46c6b7aa212e1c8759b6
Patrol;12;6-Mar-23;10:08:43 AM;9709131166666660;20526683333333300;Mar 12, 2023, 4:17:03 PM;Adela Hemelikova;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;6-Mar-23;;;;;;;;;;;;CM: Green turtle;;;b753cb37d0d34887a7199dae3ca4596e
Patrol;11;6-Mar-23;10:03:33 AM;9709096333333330;20541633333333300;Mar 12, 2023, 4:17:03 PM;Adela Hemelikova;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;6-Mar-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;;;CM: Green turtle;;;5d28af3ec0824d18adc086b7219c24b7
Patrol;10;6-Mar-23;10:00:08 AM;9709078;2054495;Mar 12, 2023, 4:17:03 PM;Adela Hemelikova;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;6-Mar-23;;;124.0;;B: beach (between high tide and slope);BE: between low and high tide;;;;;;CM: Green turtle;;1.0;2b22d7be06c043519443329dbe266360
Patrol;9;6-Mar-23;9:39:29 AM;9709057;20549066666666600;Mar 12, 2023, 4:17:03 PM;Adela Hemelikova;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;6-Mar-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;;;CM: Green turtle;;;f067b7d1c32249ea8ba3b214a376f688
Patrol;8;6-Mar-23;9:38:13 AM;9709044333333330;20549683333333300;Mar 12, 2023, 4:17:03 PM;Adela Hemelikova;Bird's monitoring;;;Beach stone-curlew;;;;;;6-Mar-23;;;Beach;;;3.0;;;Ground;;;Vocalising, Walking/Running;;f604a16e06f94589908b92ebdf2aedab
Patrol;7;6-Mar-23;9:35:41 AM;9709028000000000;20555616666666600;Mar 12, 2023, 4:17:03 PM;Adela Hemelikova;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;6-Mar-23;;;;;S: front slope of dune in sand;A: above high tide;;;;;;CM: Green turtle;;;921ac9225bc64c619b1449deaecfa6a0
Patrol;6;6-Mar-23;9:28:46 AM;9708884333333330;205713;Mar 12, 2023, 4:17:03 PM;Adela Hemelikova;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;6-Mar-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;0afe4b4bbea44b889777e69f2bdc4f5e
Patrol;5;6-Mar-23;9:24:09 AM;9708828;2057728333333330;Mar 12, 2023, 4:17:03 PM;Adela Hemelikova;Sea turtle activity;P: predation;Amandangan;;;;;;6-Mar-23;;;;;D: dune sand (area on top of dune);A: above high tide;;;;;Yes;CM: Green turtle;;;7c6da11061af48ad89d15bf1ddb94534
Patrol;4;6-Mar-23;9:20:11 AM;9708762833333330;20587716666666600;Mar 12, 2023, 4:17:02 PM;Adela Hemelikova;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;6-Mar-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;9132828f9e204ade820794efc0ecdb5c
Patrol;3;6-Mar-23;9:14:11 AM;9708731000000000;20594333333333300;Mar 12, 2023, 4:17:02 PM;Adela Hemelikova;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;6-Mar-23;;;;;D: dune sand (area on top of dune);A: above high tide;;;;;;CM: Green turtle;;;6e105acfa7e64473937b8aba6e1b1306
Patrol;2;6-Mar-23;9:04:53 AM;9708461000000000;20614833333333300;Mar 12, 2023, 4:17:02 PM;Adela Hemelikova;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;6-Mar-23;;;;;;;;;;;;CM: Green turtle;;;6e6865c6e6df440393ec92af51c2a8ad
Patrol;5;5-Mar-23;7:52:39 AM;9709044166666660;20548216666666600;Mar 12, 2023, 4:16:17 PM;Adela Hemelikova;Bird's monitoring;;;Beach stone-curlew;;;;;;5-Mar-23;;;Beach;;;3.0;;;Ground;;;Vocalising, Walking/Running;;d3ae9edfb93f4cdfb07f2b99e5d25ff8
Patrol;4;5-Mar-23;7:39:08 AM;9708758000000000;20589283333333300;Mar 12, 2023, 4:32:37 PM;Adela Hemelikova;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;5-Mar-23;;;;;G: dune in grass;A: above high tide;;;;;;CM: Green turtle;;;4c0efef676484854965b4704a1713156
Patrol;3;5-Mar-23;7:32:53 AM;9708743333333330;2059035;Mar 12, 2023, 4:16:17 PM;Adela Hemelikova;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;5-Mar-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;864cde10f5a7431cbb60e882c40c6397
Patrol;2;5-Mar-23;7:23:53 AM;9708652166666660;20600316666666600;Mar 12, 2023, 4:16:17 PM;Adela Hemelikova;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;5-Mar-23;;;;;B: beach (between high tide and slope);BE: between low and high tide;;;;;;CM: Green turtle;;;00766448901b42159b3847817e681d17
Patrol;6;3-Mar-23;2:58:32 PM;97080535;20696766666666600;Mar 12, 2023, 4:16:02 PM;Adela Hemelikova;Sea turtle activity;;Pantai pelanggaran;;;;;;3-Mar-23;;;;;;;;DA: Damage, DE: death;Panjang sirip 47 cm. Lebar sirip 18 cm;;;CM: Green turtle;;;51e0398d50a741a280b7c359f6bc85bc
Patrol;5;3-Mar-23;2:53:43 PM;9708057833333330;20696916666666600;Mar 12, 2023, 4:16:02 PM;Adela Hemelikova;Bird's monitoring;;;Silvery pigeon;;;Ditemukan 2 ekor burung murai batu hutan di atas pohon;;;3-Mar-23;;;Forest;;;2.0;;;Tree;;;Feeding, Vocalising;;fdeafc124327492790eb8772b07ae17e
Patrol;4;3-Mar-23;2:49:53 PM;9708112833333330;20694016666666600;Mar 12, 2023, 4:16:02 PM;Adela Hemelikova;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Pantai pelanggaran;;2.5;2.0;;5.0;3-Mar-23;;;140.0;;D: dune sand (area on top of dune);BE: between low and high tide;;DE: death;Tukik mati dua ekor;;;CM: Green turtle;;20.0;041360f860aa4638b3308e3b002e3dfc
Patrol;3;3-Mar-23;2:42:18 PM;9708161833333330;2068585;Mar 12, 2023, 4:16:02 PM;Adela Hemelikova;Sea turtle activity;P: predation;Pantai pelanggaran;;;;;;3-Mar-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;Yes;CM: Green turtle;;;f1399a28097d45c9a04530471a22f14d
Patrol;2;3-Mar-23;2:38:44 PM;9708161166666660;2068155;Mar 12, 2023, 4:16:02 PM;Adela Hemelikova;Sea turtle activity;FC-U: false crawl without nesting attempt;Pantai pelanggaran;;;;;;3-Mar-23;;;;;B: beach (between high tide and slope);BE: between low and high tide;;;;;;CM: Green turtle;;;8a9cd4451dde47e9b73f49f869b1e92a
Patrol;2;2-Mar-23;4:58:57 PM;9708215333333330;20661733333333300;Mar 12, 2023, 4:15:51 PM;Adela Hemelikova;Sea turtle activity;FC-U: false crawl without nesting attempt;Pantai kecil;;;;;;2-Mar-23;;;;;D: dune sand (area on top of dune);BL: below tidal line;;;;;;CM: Green turtle;;;194cbe74431547569cb22d8ec5c99c11
Patrol;3;2-Mar-23;4:54:54 PM;9708217;2066168333333330;Mar 12, 2023, 4:15:50 PM;Adela Hemelikova;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;2-Mar-23;;Left side of the head, Right side of the head;;;;;;DI: Disease;Teritip menempel di karapas dan tidak bisa dilepas kami sudah kordinasi;;;CM: Green turtle;;;48a7ba225f6e4bd9a9ebd8f1b63ee258
Patrol;2;2-Mar-23;4:51:29 PM;9708217;20661733333333300;Mar 12, 2023, 4:25:54 PM;Adela Hemelikova;Bird's monitoring;;;Nias hill myna;;;;;;2-Mar-23;;;Forest;;;9.0;;;Tree;;;Sleeping, Standing;;ec36434975e24965aeca1683b7e40a0c
Patrol;2;2-Mar-23;4:40:41 PM;97082205;20661366666666600;Mar 12, 2023, 4:15:45 PM;Adela Hemelikova;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;2-Mar-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;645195e2bdbe41b4a8f3c06c6b3a0b08
Patrol;2;2-Mar-23;4:40:41 PM;97082205;20661366666666600;Mar 12, 2023, 4:15:45 PM;Adela Hemelikova;Bird's monitoring;;;White-rumped shama;;;;;;2-Mar-23;;;Forest;;;1.0;;;Tree;;;Standing;;645195e2bdbe41b4a8f3c06c6b3a0b08
Patrol;2;28-Feb-23;3:03:40 PM;9740973333333330;2296745;Mar 12, 2023, 4:15:38 PM;Adela Hemelikova;Bird's monitoring;;;Nias hill myna;;;;;;;;;Forest;;;5.0;;;Tree;;;Vocalising;;756673b4a63348b987cd96b7258597b4
Patrol;2;28-Feb-23;3:03:40 PM;9740973333333330;2296745;Mar 12, 2023, 4:15:38 PM;Adela Hemelikova;Sea turtle activity;IS: successful nesting;Amandangan;;98.0;87.0;;;28-Feb-23;;;;;D: dune sand (area on top of dune);A: above high tide;;DI: Disease;;;;CM: Green turtle;;;756673b4a63348b987cd96b7258597b4
